TradeDate,Ticker,Open,High,Low,Close,MarketHoursVolume,CumulativePriceFactor,CumulativeVolumeFactor,AdjustmentFactor,AdjustmentReason,SecId
2019-01-02 00:00:00,MSFT,99.53,101.75,98.95,101.12,31393695,1.322673007307574,1.0,,,39827
2019-01-03 00:00:00,MSFT,100.09,100.17,97.2,97.4,40155453,1.322673007307574,1.0,,,39827
2019-01-04 00:00:00,MSFT,99.65,102.51,98.93,101.93,42666338,1.322673007307574,1.0,,,39827
2019-01-07 00:00:00,MSFT,101.64,103.26,100.98,102.06,33404302,1.322673007307574,1.0,,,39827
2019-01-08 00:00:00,MSFT,103.09,103.97,101.72,102.8,29880061,1.322673007307574,1.0,,,39827
2019-01-09 00:00:00,MSFT,103.75,104.88,103.25,104.27,30819984,1.322673007307574,1.0,,,39827
2019-01-10 00:00:00,MSFT,103.12,103.75,102.39,103.6,28460818,1.322673007307574,1.0,,,39827
2019-01-11 00:00:00,MSFT,103.13,103.44,101.64,102.8,27083438,1.322673007307574,1.0,,,39827
2019-01-14 00:00:00,MSFT,101.98,102.44,101.26,102.05,25084563,1.322673007307574,1.0,,,39827
2019-01-15 00:00:00,MSFT,102.36,105.05,101.88,105.01,30736348,1.322673007307574,1.0,,,39827
2019-01-16 00:00:00,MSFT,105.31,106.25,104.96,105.38,28067239,1.322673007307574,1.0,,,39827
2019-01-17 00:00:00,MSFT,105.06,106.62,104.76,106.12,26176903,1.322673007307574,1.0,,,39827
2019-01-18 00:00:00,MSFT,107.51,107.9,105.91,107.71,36144803,1.322673007307574,1.0,,,39827
2019-01-22 00:00:00,MSFT,106.91,107.1,104.86,105.68,30075859,1.322673007307574,1.0,,,39827
2019-01-23 00:00:00,MSFT,106.12,107.04,105.35,106.71,24611235,1.322673007307574,1.0,,,39827
2019-01-24 00:00:00,MSFT,107.0,106.99,105.34,106.2,21924775,1.322673007307574,1.0,,,39827
2019-01-25 00:00:00,MSFT,107.18,107.88,106.59,107.17,30443872,1.322673007307574,1.0,,,39827
2019-01-28 00:00:00,MSFT,106.4,106.48,104.67,105.08,28326076,1.322673007307574,1.0,,,39827
2019-01-29 00:00:00,MSFT,104.88,104.97,102.17,102.94,30401936,1.322673007307574,1.0,,,39827
2019-01-30 00:00:00,MSFT,104.62,106.38,104.33,106.38,41334022,1.322673007307574,1.0,,,39827
