TradeDate,Ticker,Open,High,Low,Close,MarketHoursVolume,CumulativePriceFactor,CumulativeVolumeFactor,AdjustmentFactor,AdjustmentReason,SecId
2019-01-02 00:00:00,AMZN,1465.2,1553.36,1460.98,1539.13,7563497,1.0,1.0,,,33127
2019-01-03 00:00:00,AMZN,1519.0,1538.0,1497.11,1500.28,6713215,1.0,1.0,,,33127
2019-01-04 00:00:00,AMZN,1528.56,1594.0,1518.62,1575.39,8891894,1.0,1.0,,,33127
2019-01-07 00:00:00,AMZN,1604.44,1634.56,1590.0,1629.51,7638084,1.0,1.0,,,33127
2019-01-08 00:00:00,AMZN,1665.0,1676.61,1616.61,1656.58,8570261,1.0,1.0,,,33127
2019-01-09 00:00:00,AMZN,1656.5,1667.55,1641.49,1659.42,6026833,1.0,1.0,,,33127
2019-01-10 00:00:00,AMZN,1641.53,1663.0,1621.96,1656.22,6311417,1.0,1.0,,,33127
2019-01-11 00:00:00,AMZN,1640.99,1660.07,1636.22,1640.56,4508879,1.0,1.0,,,33127
2019-01-14 00:00:00,AMZN,1614.43,1648.2,1595.17,1617.21,5739069,1.0,1.0,,,33127
2019-01-15 00:00:00,AMZN,1632.0,1675.16,1626.71,1674.56,5840197,1.0,1.0,,,33127
2019-01-16 00:00:00,AMZN,1684.0,1705.0,1676.06,1683.78,6108426,1.0,1.0,,,33127
2019-01-17 00:00:00,AMZN,1680.0,1700.17,1677.5,1693.22,4051465,1.0,1.0,,,33127
2019-01-18 00:00:00,AMZN,1712.01,1716.2,1691.54,1696.2,5777578,1.0,1.0,,,33127
2019-01-22 00:00:00,AMZN,1681.0,1681.84,1610.2,1632.17,6238303,1.0,1.0,,,33127
2019-01-23 00:00:00,AMZN,1656.36,1657.43,1612.0,1640.02,5024029,1.0,1.0,,,33127
2019-01-24 00:00:00,AMZN,1639.2,1657.06,1632.0,1654.93,3810478,1.0,1.0,,,33127
2019-01-25 00:00:00,AMZN,1670.5,1683.48,1661.97,1670.57,4764693,1.0,1.0,,,33127
2019-01-28 00:00:00,AMZN,1645.0,1643.59,1614.1,1637.89,4624047,1.0,1.0,,,33127
2019-01-29 00:00:00,AMZN,1630.61,1632.38,1590.72,1593.88,4343038,1.0,1.0,,,33127
2019-01-30 00:00:00,AMZN,1623.0,1676.57,1619.68,1670.43,5502594,1.0,1.0,,,33127
2019-01-31 00:00:00,AMZN,1692.85,1736.05,1680.0,1718.73,8524750,1.0,1.0,,,33127
2019-02-01 00:00:00,AMZN,1638.88,1673.0,1622.16,1626.23,10954607,1.0,1.0,,,33127
2019-02-04 00:00:00,AMZN,1622.28,1649.63,1614.0,1633.31,4786090,1.0,1.0,,,33127
2019-02-05 00:00:00,AMZN,1643.34,1665.0,1642.5,1658.81,4325323,1.0,1.0,,,33127
2019-02-06 00:00:00,AMZN,1670.0,1672.26,1633.34,1640.26,3813661,1.0,1.0,,,33127
2019-02-07 00:00:00,AMZN,1625.0,1625.01,1592.91,1614.37,4431911,1.0,1.0,,,33127
2019-02-08 00:00:00,AMZN,1585.62,1588.59,1566.92,1588.22,5453138,1.0,1.0,,,33127
2019-02-11 00:00:00,AMZN,1600.0,1609.29,1586.22,1591.0,3138071,1.0,1.0,,,33127
2019-02-12 00:00:00,AMZN,1604.0,1639.3,1598.88,1638.01,4697309,1.0,1.0,,,33127
2019-02-13 00:00:00,AMZN,1647.0,1656.23,1637.24,1640.0,3359887,1.0,1.0,,,33127
2019-02-14 00:00:00,AMZN,1623.03,1637.9,1606.06,1622.65,3890118,1.0,1.0,,,33127
2019-02-15 00:00:00,AMZN,1627.86,1628.85,1604.5,1607.95,4156749,1.0,1.0,,,33127
2019-02-19 00:00:00,AMZN,1602.0,1633.88,1600.56,1627.58,3554998,1.0,1.0,,,33127
2019-02-20 00:00:00,AMZN,1627.0,1634.93,1610.12,1622.1,3249599,1.0,1.0,,,33127
2019-02-21 00:00:00,AMZN,1619.85,1623.36,1600.91,1619.44,3407135,1.0,1.0,,,33127
2019-02-22 00:00:00,AMZN,1622.86,1634.94,1621.66,1631.56,2786016,1.0,1.0,,,33127
2019-02-25 00:00:00,AMZN,1640.0,1654.27,1630.47,1633.0,3031514,1.0,1.0,,,33127
2019-02-26 00:00:00,AMZN,1625.0,1639.89,1616.16,1636.4,2550826,1.0,1.0,,,33127
2019-02-27 00:00:00,AMZN,1628.18,1641.8,1615.16,1641.09,3037932,1.0,1.0,,,33127
2019-02-28 00:00:00,AMZN,1635.25,1651.77,1633.83,1639.83,2735948,1.0,1.0,,,33127
2019-03-01 00:00:00,AMZN,1652.0,1674.26,1651.0,1671.73,4487257,1.0,1.0,,,33127
2019-03-04 00:00:00,AMZN,1685.36,1709.43,1675.0,1696.17,5850986,1.0,1.0,,,33127
2019-03-05 00:00:00,AMZN,1703.41,1707.8,1689.01,1692.43,3568984,1.0,1.0,,,33127
2019-03-06 00:00:00,AMZN,1695.29,1697.62,1668.43,1668.95,3848701,1.0,1.0,,,33127
2019-03-07 00:00:00,AMZN,1663.64,1669.45,1620.58,1625.95,4545937,1.0,1.0,,,33127
2019-03-08 00:00:00,AMZN,1603.67,1622.72,1586.57,1620.8,4277914,1.0,1.0,,,33127
2019-03-11 00:00:00,AMZN,1626.12,1672.14,1626.01,1670.62,3673330,1.0,1.0,,,33127
2019-03-12 00:00:00,AMZN,1669.9,1684.27,1660.98,1673.1,3361542,1.0,1.0,,,33127
2019-03-13 00:00:00,AMZN,1683.8,1700.0,1679.35,1690.81,3450398,1.0,1.0,,,33127
2019-03-14 00:00:00,AMZN,1690.9,1702.0,1684.34,1686.22,2807318,1.0,1.0,,,33127
2019-03-15 00:00:00,AMZN,1702.98,1718.8,1693.2,1712.36,6785258,1.0,1.0,,,33127
2019-03-18 00:00:00,AMZN,1712.7,1750.0,1712.63,1742.15,5173155,1.0,1.0,,,33127
2019-03-19 00:00:00,AMZN,1753.8,1784.16,1753.5,1761.85,5973068,1.0,1.0,,,33127
2019-03-20 00:00:00,AMZN,1771.54,1799.01,1767.57,1797.27,5910747,1.0,1.0,,,33127
2019-03-21 00:00:00,AMZN,1799.0,1823.75,1787.69,1819.26,5370881,1.0,1.0,,,33127
2019-03-22 00:00:00,AMZN,1809.37,1818.98,1763.52,1764.77,6142666,1.0,1.0,,,33127
2019-03-25 00:00:00,AMZN,1756.74,1782.56,1747.6,1774.26,4946170,1.0,1.0,,,33127
2019-03-26 00:00:00,AMZN,1793.0,1805.77,1773.51,1783.76,4700094,1.0,1.0,,,33127
2019-03-27 00:00:00,AMZN,1784.13,1787.5,1746.02,1765.7,4217986,1.0,1.0,,,33127
2019-03-28 00:00:00,AMZN,1770.0,1777.93,1754.0,1773.42,2946201,1.0,1.0,,,33127
2019-03-29 00:00:00,AMZN,1787.11,1792.82,1776.63,1780.75,3106139,1.0,1.0,,,33127
2019-04-01 00:00:00,AMZN,1800.19,1815.67,1798.73,1814.19,3962869,1.0,1.0,,,33127
2019-04-02 00:00:00,AMZN,1811.02,1820.0,1805.12,1813.98,3228299,1.0,1.0,,,33127
2019-04-03 00:00:00,AMZN,1825.05,1830.0,1809.62,1820.7,3758003,1.0,1.0,,,33127
2019-04-04 00:00:00,AMZN,1820.0,1828.67,1804.2,1818.86,3522830,1.0,1.0,,,33127
2019-04-05 00:00:00,AMZN,1829.28,1838.58,1825.19,1837.28,3330987,1.0,1.0,,,33127
2019-04-08 00:00:00,AMZN,1833.23,1850.2,1825.13,1849.86,3631113,1.0,1.0,,,33127
2019-04-09 00:00:00,AMZN,1844.13,1853.09,1831.78,1835.84,3420301,1.0,1.0,,,33127
2019-04-10 00:00:00,AMZN,1838.97,1848.0,1829.01,1847.33,2860524,1.0,1.0,,,33127
